herkomst,doel,e-nummer,naam,opmerkingen,kleur,soort
Synthetisch,Zout,E450a,Tetrakaliumdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450b,Pentanatriumtrifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450b,Pentakaliumtrifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450c,Natriumpolyfosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450c,Kaliumpolyfosfaat,,ROOD,Emulgatoren
,Synthetische stabilisatoren,"E452, E452I-E452iv",Polyfosfaten,,ROOD,Emulgatoren
,"Natuurlijk polymeer, houtstof",E460,Microkristallijn Cellulose,,ROOD,Emulgatoren
,"Natuurlijk polymeer, houtstof",E460,Cellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E461,Methylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E463,Hydroxypropylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E464,Hydroxypropylmethylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E465,Methylethylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E466,Natriumcarboxymethylcellulose,,ROOD,Emulgatoren
Vetzuren,Zouten van vetten,E470,Vetzuurzouten,,GROEN,Emulgatoren
Vetzuren,Soort vet,E471,Mono- en diglyceriden van vetzuren,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472a,"Mono- en diglyceriden van vetzuren, veresterd met azijnzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472b,"Mono- en diglyceriden van vetzuren, veresterd met melkzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472c,"Mono- en diglyceriden van vetzuren, veresterd met citroenzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472d,"Mono- en diglyceriden van vetzuren, veresterd met wijnsteenzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472e,"Mono- en diglyceriden van vetzuren, veresterd met azijnzuurderivaten",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472f,"Mono- en diglyceriden van vetzuren, veresterd met azijn- en wijnsteenzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E473,Suiker-esters,,ROOD,Emulgatoren
Combinatie van suiker met vetzuren.,Synthetische emulgatoren,E474,Suikerglyceriden,,ROOD,Emulgatoren
Mengsel van melkzuur en stearinezuur,Synthetische emulgatoren,E481/482,Natrium/Calcium-stearoyllactylaat,,GROEN,Emulgatoren
Mengsel van wijnsteenzuur en stearinezuur,Synthetische emulgatoren,E483,Stearyltartraat,,GROEN,Emulgatoren
Mengsel van citroenzuur en stearinezuur,Synthetische emulgatoren,E484,Stearylcitraat,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E491-495,Verbindingen van sorbitol (een plantaardige stof) met diverse vetzuren,,ROOD,Emulgatoren
,base,E500,Natriumcarbonaat,,GROEN,Diverse additieven
,base,E500a,Natriumwaterstofcarbonaat,,GROEN,Diverse additieven
,base,E501,Kaliumcarbonaat,,GROEN,Diverse additieven
,base,E503,Ammoniumcarbonaat,,GROEN,Diverse additieven
,"base, anti-klontermiddel",E504,Magnesiumcarbonaat,,GROEN,Diverse additieven
,bron van ijzer,E505,IJzercarbonaat,,GROEN,Diverse additieven
,Natuurlijk zuur,E507,Zoutzuur,,ROOD,Diverse additieven
,zout,E508,Kaliumchloride,,ROOD,Diverse additieven
,metaalionen binder,E509,Calciumchloride,,ROOD,Diverse additieven
,"smaakstof, deegverbeteraar",E510,Ammoniumchloride,,ROOD,Diverse additieven
,verstevigingsmiddel,E511,Magnesiumchloride,,ORANJE,Diverse additieven
,Zuur,E513,Zwavelzuur,,ROOD,Diverse additieven
,zuur,E514,Natriumsulfaat,,ROOD,Diverse additieven
,zoutvervanger,E515,Kaliumsulfaat,,ROOD,Diverse additieven
,verstevigingsmiddel,E516,Calciumsulfaat,,ORANJE,Diverse additieven
,magnesium bron,E518,Magnesiumsulfaat,,ROOD,Diverse additieven
,verstevigingsmiddel,E520,Aluminiumsulfaat,,ROOD,Diverse additieven
,verstevigingsmiddel,E521,Aluminiumnatriumsulfaat,,ROOD,Diverse additieven
,rijsmiddel,E523,Aluminiumammoniumsulfaat,,ROOD,Diverse additieven
,base,E524,Natriumhydroxide,,ORANJE,Diverse additieven
,base,E525,Kaliumhydroxide,,ROOD,Diverse additieven
,base,E526,Calciumhydroxide,,ORANJE,Diverse additieven
,base,E527,Ammonia,,ORANJE,Diverse additieven
,base,E528,Magnesiumhydroxide,,ORANJE,Diverse additieven
,base,E529,Calciumoxide,,ORANJE,Diverse additieven
,"base, anti-klontermiddel",E530,Magnesiumoxide,,ORANJE,Diverse additieven
,anti-klontermiddel,E535,Natriumferrocyanide,,ORANJE,Diverse additieven
,anti-klontermiddel,E536,Kaliumferrocyanide,,ORANJE,Diverse additieven
,anti-klontermiddel,E537,Ferrohexacyanomanganaat,,ORANJE,Diverse additieven
,rijsmiddel,E540,Dicalciumdifosfaat,,ORANJE,Diverse additieven
